7112
7AE0C53D	[(39,0.783526,2008,10) (40,0.00461229,2008,10) (46,0.141392,2008.08,10) (47,4.5085,2007.11,10) (63,3.52016,2007.26,10) (69,5.88271,2006.08,10) (89,0.433106,2007.99,10) (93,0.0801173,2008,10) (94,0.00734345,2008,10) (95,0.0210813,2008,10) ]
801FA135	[(9,0.0477087,2008,10) (16,2.92249,2006.42,10) (24,0.0133367,2008,10) (25,0.252114,2008.08,10) (33,0.529051,2008.03,10) (39,21.9577,2010.38,10) (40,0.166171,1991.01,10) (41,0.0619325,2008,10) (46,3.98739,2008.09,10) (47,89.7978,1980.72,10) (63,97.7699,2010.19,10) (66,0.227184,2008.01,10) (68,0.562821,2007.99,10) (69,161.206,2016.41,10) (72,0.000549967,2008,10) (78,0.0330439,2008,10) (87,0.00620262,2008,10) (89,31.3317,2017.83,10) (90,0.342017,2008.02,10) (92,0.0784031,2008,10) (93,2.21373,2007.91,10) (94,0.623587,2015.05,10) (95,0.647043,1986.99,10) (97,0.0169275,2008,10) (99,0.0075996,2008,10) ]
09586610	[(39,2.78331,2009.27,10) (46,0.298801,2008.04,10) (47,16.2239,2010.83,10) (63,12.7432,2008.79,10) (69,21.4209,2010.94,10) (89,1.50498,2008.03,10) (93,0.27866,2008.01,10) ]
1C2AD895	[(11,0.508926,2008.03,10) (31,0.322749,2008.01,10) (42,0.0440474,2008,10) (48,55.2698,2011.33,10) (70,1.97693,2007.85,10) ]
7F0A247A	[(2,0.0802129,2008.01,10) (11,1.46139,2011.91,10) (25,1.21797,2008.08,10) (26,0.945968,2008.08,10) (31,2.88068,2008.35,10) (32,1.23363,2007.95,10) (42,0.596649,2008.01,10) (48,3.53396,2009.11,10) (70,0.938603,1996.09,10) (80,2.42455,2008.17,10) (83,0.875679,2008.01,10) (89,0.0798724,2008.02,10) (95,0.453623,2007.99,10) ]
780967CE	[(11,4.08117,2008.56,10) (25,1.55805,2008.2,10) (26,0.999446,2008.05,10) (31,6.4175,2008.17,10) (32,0.0365537,1987.04,10) (48,4.41999,2014.6,10) (70,6.13496,1997.47,10) (80,3.35235,2008.26,10) (83,0.340818,2008,10) (94,0.0664335,2008,10) (95,0.0454104,2008,10) ]
7FE1DC6A	[(11,0.0740916,2006.05,10) (25,1.34772,2008.07,10) (26,0.73467,2008.08,10) (31,0.231122,2008.01,10) (32,0.8815,2008.05,10) (42,0.0284216,2008,10) (43,0.000370431,2008,10) (48,0.312502,2014.8,10) (70,36.2942,2011.5,10) (80,0.399091,2008.07,10) (83,0.0654456,2008,10) (89,0.0371687,2007.96,10) (94,0.0459273,2008.01,10) (95,0.0770964,2008,10) ]
7DF195DC	[(2,0.0130871,2008,10) (11,19.9127,2008.6,10) (25,0.315862,2008.03,10) (26,0.1786,2008.03,10) (31,0.200769,2008.01,10) (32,0.0640583,1983.99,10) (42,0.0366951,2008,10) (48,0.457827,2014.71,10) (70,36.2736,2013.8,10) (80,0.446911,2008.08,10) (83,0.0574042,2008,10) (89,0.346213,2008.03,10) (94,0.00239414,2008,10) (95,0.00352508,2008,10) ]
7DACA2B9	[]
80DCC7AE	[]
3CAB9298	[]
02D2C557	[]
7C16CB32	[]
805BF4CE	[]
7FA8F055	[]
15890786	[(0,0.110839,1993.96,10) (1,0.369842,1998.97,10) (5,0.35516,2008.04,10) (6,0.00976875,2008,10) (7,0.123297,2008,10) (8,0.204402,2008,10) (15,0.120565,2010.67,10) (17,0.0293389,2008,10) (24,1.14446,1990.01,10) (25,0.0160893,2005,10) (26,0.174813,2013.98,10) (27,0.0326271,2008,10) (28,1.60486,2007.75,10) (29,2.12358,2008.65,10) (30,0.105912,2008.02,10) (31,0.0685429,2008,10) (32,0.0092203,2008,10) (33,2.66673,2008.42,10) (34,0.0633122,2015,10) (36,3.68228,2008.22,10) (39,143.609,2012.01,10) (40,0.00521303,2008,10) (41,0.175042,2008.01,10) (43,0.0223893,2008,10) (46,0.00782081,2008,10) (48,1.52033,2008.11,10) (49,0.881508,2008,10) (55,0.92668,2008.17,10) (56,1.58213,2008.99,10) (61,2.88285,2009.98,10) (62,0.957831,2003.12,10) (64,0.00244223,2008,10) (65,0.0345766,2008,10) (67,0.0670016,2008.01,10) (68,0.0144525,2008,10) (72,0.716488,2007.15,10) (73,0.0103212,2008,10) (74,8.29852,2008.56,10) (76,0.0935173,2007.01,10) (77,0.16117,2008,10) (78,37.3221,2013.52,10) (82,0.0433609,2008,10) (90,0.0217156,2008,10) (92,0.0450042,2008,10) (98,0.0611208,2008,10) ]
457C17C7	[(1,236.453,2033.01,10) (15,0.532912,1984.96,10) (17,0.110455,2008.03,10) (25,2.42966,2008.13,10) (27,0.56063,2008.27,10) (29,0.14096,2008.02,10) (33,0.000143117,2008,10) (36,0.0840267,2015.02,10) (48,306.017,2030.67,10) (49,6.36927,2007.76,10) (61,4.34469,2009.34,10) (72,2.15738,2010.79,10) (73,0.635699,2008.03,10) (76,0.836864,2007.96,10) (78,365.524,2032.79,10) (82,0.0186247,2007,10) (84,0.742829,1990.96,10) (87,6.90245e-05,2008,10) (88,9.37374e-06,2008,10) ]
7682BC83	[(0,0.584151,1998.91,10) (1,0.570834,2007.01,10) (2,0.884209,2008.05,10) (4,0.579894,2008.01,10) (6,13.1126,2008.3,10) (8,1.50209,2008.11,10) (9,1.14093,2008.04,10) (15,39.6104,2008.9,10) (16,0.0168037,2004,10) (18,0.00334578,2008,10) (19,5.77835,2006.8,10) (20,1.32188,2008.11,10) (24,146.509,2030.44,10) (25,0.335671,2008.01,10) (26,2.43522,2008.36,10) (27,0.898161,2008.1,10) (29,0.85097,2008.06,10) (31,6.40706,2008.17,10) (32,17.3004,2012.18,10) (33,659.237,2038.46,10) (35,0.383925,2008.02,10) (36,42.3588,2012.23,10) (38,0.0404993,2008,10) (41,73.0014,2014.95,10) (42,1.32979,2008.05,10) (43,5.20085,2008.43,10) (44,0.0871121,2008,10) (45,0.0101815,2008,10) (46,26.9437,2010.54,10) (48,0.353966,2006.05,10) (49,6.20272,2008.96,10) (50,10.4226,2009.08,10) (54,0.707344,2008.3,10) (56,0.0121672,2008.01,10) (59,0.667561,2007.99,10) (61,65.9823,2009.01,10) (62,1176.84,2027.93,10) (63,5.14302,2008.38,10) (64,0.107778,2008.02,10) (66,0.184226,2008.03,10) (67,32.1629,2018.31,10) (69,0.00108633,2008,10) (72,0.0621625,2008.01,10) (73,0.0583472,2008.02,10) (74,114.938,2021.3,10) (75,0.0835024,2008.01,10) (76,3.23996,2008.01,10) (77,0.749917,2007.98,10) (79,0.00409862,2008,10) (82,0.201776,2008,10) (84,1.03585,2008.02,10) (87,0.0406935,2008,10) (90,0.414592,2008.04,10) (92,0.421667,2008.01,10) ]
7DE5C33B	[(0,0.294125,2014.19,10) (1,0.314062,2013.28,10) (5,0.0103277,2008,10) (8,0.028189,2008,10) (11,1.91689,2007.32,10) (15,0.90402,2008.03,10) (20,0.513235,2008.03,10) (24,483.857,2012.68,10) (26,0.545227,2008.01,10) (27,2.19014,1985.51,10) (30,0.014074,2008,10) (31,0.0070174,2008,10) (33,17.7489,2009.1,10) (34,2.29906,1991.61,10) (36,2.90139,2008.38,10) (38,0.0562248,2008,10) (39,0.848705,2008.25,10) (40,0.409602,2007.9,10) (41,7.66075,2002.84,10) (42,0.211065,1997.97,10) (46,2.19433,2007.36,10) (48,0.335874,2008,10) (49,0.685964,2007.91,10) (50,3.29692,2007.81,10) (55,9.80406,2008.16,10) (61,1.16607,2000.56,10) (62,0.179783,1986.01,10) (63,0.399739,2008.02,10) (67,2.8274,2008.85,10) (74,0.767759,2001.98,10) (78,0.16487,1996.01,10) (79,0.0257512,2008,10) (88,0.0551216,2007,10) (92,0.00662135,2008,10) ]
80240507	[(0,0.125912,1997.01,10) (1,0.127349,1993,10) (15,0.147513,1984.98,10) (17,0.103607,2008.05,10) (24,0.0138636,2008,10) (25,2.49853,2008.19,10) (27,0.556786,2008.22,10) (29,0.199261,2008.06,10) (36,0.010549,2008,10) (39,0.705633,2008.26,10) (42,0.359099,1995,10) (43,0.359129,2014.03,10) (45,0.0017862,2008,10) (48,0.583589,1999.08,10) (49,0.388627,2012.05,10) (56,0.0425822,2008,10) (61,42.1054,2009.82,10) (72,50.0535,2014.18,10) (73,0.634665,2008.08,10) (74,0.0231866,1984,10) (76,8.10477,2012.36,10) (78,0.215711,1994.97,10) ]
848B99C1	[(0,0.344523,1997.18,10) (1,0.548281,2001.46,10) (5,22.3418,2009.09,10) (6,0.221325,2008,10) (8,5.84149,2008.64,10) (9,0.185601,2008,10) (15,1.14927,2014.54,10) (16,0.172299,2008.02,10) (17,5.46973,2008.94,10) (24,1.36433,2008.7,10) (26,0.103673,2008,10) (30,5.28995,2008.91,10) (31,0.227043,2008.03,10) (33,5.11519,2009.03,10) (36,0.346141,2008.06,10) (39,2.02798,2008.8,10) (40,0.876782,2008.45,10) (41,0.547928,2008.27,10) (43,0.092012,2008.01,10) (55,40.4282,1993.64,10) (56,9.41213,2009.38,10) (61,0.12313,2008.01,10) (62,0.237584,2008.11,10) (67,0.00524904,2008,10) (71,0.781113,2008.51,10) (74,1.23063,2008.19,10) (78,1.7611,2009.36,10) (82,0.037296,2008,10) (86,1.67759e-06,2008,10) (88,0.0785588,2008,10) (94,2.29732,2008.22,10) (95,0.0388497,2008,10) (96,0.00113052,2008,10) (98,11.3022,2011.33,10) ]
7FBBF220	[(0,0.799263,2015.99,10) (1,0.945158,2006.59,10) (4,0.214588,2008.01,10) (5,21.8028,2008.07,10) (6,0.0136724,2008,10) (8,70.3036,2020.03,10) (9,0.101895,2007.99,10) (13,0.0291892,2008,10) (15,1.52105,1994.14,10) (16,0.432739,2008.03,10) (17,0.624584,2008.66,10) (22,0.00376832,2008,10) (24,3.09431,2008.56,10) (26,0.749278,2008.03,10) (29,3.45323,2008.32,10) (30,0.545012,2008.05,10) (31,0.00807413,2008,10) (32,0.0674998,2008.04,10) (33,0.0377925,1989,10) (38,2.85662,2007.81,10) (39,0.160674,2008,10) (41,0.456355,2008.03,10) (43,0.0659639,2008,10) (44,0.00830677,2008,10) (46,2.44281,2008.06,10) (48,0.59788,1988.98,10) (49,0.0786011,2008,10) (55,232.487,2027.39,10) (56,170.179,2024.67,10) (60,0.0245465,2008,10) (61,1033.25,2018.57,10) (62,20.5609,2008.37,10) (67,2.82418,2008.23,10) (68,0.00521409,2008,10) (71,0.805259,2008.07,10) (72,0.00680874,2001,10) (74,0.331176,2008.07,10) (78,0.0991648,2008.02,10) (83,0.0244403,2008,10) (84,0.431681,2008.04,10) (86,1.18852e-06,2008,10) (91,0.0119117,2008,10) (92,0.00526942,2008,10) (94,0.0196767,2008,10) (97,0.00359016,2008,10) (98,1.19758,2008.3,10) ]
7E82BE51	[(0,4.05629,1991.81,10) (1,9.01668,2002.36,10) (4,1.71015,2008.03,10) (5,2.98742,2008.14,10) (6,0.25441,2008.01,10) (7,4.03186,2008.39,10) (8,4.79904,1996.21,10) (9,3.98505,2008.44,10) (11,1.94889,2007.98,10) (14,0.418792,2007.99,10) (15,9.10681,2006.14,10) (16,12.7588,2009.67,10) (17,1.44815,2007.99,10) (18,0.722237,2008.03,10) (19,6.94648,2008.22,10) (20,7.43959,2008.84,10) (24,15.0227,2012.97,10) (25,7.35831,2008.31,10) (26,3.41444,2008.35,10) (27,0.820558,2008.42,10) (28,1.19075,2008.01,10) (29,11.0613,2009.63,10) (30,5.34062,1989.47,10) (31,1.28904,2008.11,10) (32,3.29631,2008.53,10) (33,11.6579,2014.99,10) (34,16.5768,2010.22,10) (36,2.93972,2008.31,10) (38,0.229235,2008,10) (39,3.90857,2010.11,10) (40,0.0832772,2008.03,10) (41,9.32717,1998.8,10) (42,2.99283,2008.04,10) (43,6.53284,2008.53,10) (46,2.54441,1998.09,10) (47,6.87788,2008.97,10) (48,5.5694,2009.28,10) (49,2.95984,2004.01,10) (50,3.5993,2008.13,10) (51,3.3382,2007.91,10) (53,0.122156,2008,10) (55,7.91861,2003.73,10) (56,17.605,2010.23,10) (58,0.577041,2008,10) (59,0.0643966,2008,10) (60,1.36907,2007.98,10) (61,9.54717,2006.12,10) (62,9.76909,2009.7,10) (63,1.36713,2008.01,10) (64,1.83272,2008.13,10) (65,0.343903,2008.03,10) (66,0.607862,2008.03,10) (67,7.40421,2009.97,10) (68,2.26116,2008.37,10) (69,3.55031,2008.46,10) (70,0.836057,2008.16,10) (71,22.6404,1998.44,10) (72,7.23936,2006.42,10) (74,8.38021,2014.76,10) (77,2.00786,2007.82,10) (78,1.57312,1990.13,10) (79,3.51673,2008.71,10) (82,6.93729,2008.79,10) (83,0.46561,2007.99,10) (84,1.80255,2008.29,10) (85,0.000100927,2008,10) (87,1.2196,2007.91,10) (88,0.00817217,2008,10) (90,0.0117031,2008,10) (91,0.887249,2008.01,10) (92,1.02001,2008.02,10) (94,0.451193,2008.04,10) (95,0.0541608,2008,10) (98,6.861,2003.49,10) (99,0.0517252,2008,10) ]
7B39DC3B	[(0,0.208451,1997.1,10) (1,0.756406,2012.86,10) (2,1.44472,2008.37,10) (3,0.466702,2008,10) (5,1.82179,2008.16,10) (6,0.117128,2008.01,10) (7,0.096406,2008,10) (9,2.7208,2008.59,10) (15,1.32514,2014.02,10) (16,1.10593,2001.93,10) (18,0.00207962,2008,10) (19,0.166892,2008.03,10) (20,1.37986,2008.35,10) (24,4.81838,2010.31,10) (25,0.158687,2008,10) (29,3.90119,2009.75,10) (30,2.88763,2008.79,10) (31,7.09018,2007.26,10) (32,0.818207,2004.13,10) (33,0.686683,1989.03,10) (34,0.0842452,2008.11,10) (35,0.0885151,2008,10) (36,1.89475,2008.18,10) (39,1.67603,2008.64,10) (41,3.72433,2009.19,10) (42,0.0247816,1985,10) (43,0.32808,2012.56,10) (46,4.36241,2009,10) (48,0.36217,1987.05,10) (49,0.389285,2008.02,10) (50,0.389754,2008.01,10) (51,1.20899,2008.04,10) (55,4.70041,2009.25,10) (56,34.0983,2013.86,10) (61,0.535883,2009.05,10) (62,2.88182,2007.31,10) (65,0.156592,2008.02,10) (67,1.61565,2008.53,10) (68,0.0240602,2008,10) (69,0.0527245,2008.01,10) (72,0.014969,2008.01,10) (74,0.60856,2009.12,10) (77,0.448861,2008.01,10) (78,2.08799,2008.97,10) (79,0.221481,2008.02,10) (80,0.102209,2008,10) (82,0.159464,2008.01,10) (83,0.00466986,2008,10) (84,0.0552484,2008,10) (87,0.199208,2008.01,10) (91,0.0873007,1993,10) (92,0.154816,2007,10) (96,0.165173,2008,10) (97,0.0554479,2008,10) (98,0.332973,2008.02,10) (99,0.731373,2008.01,10) ]
7DCE21F1	[(0,6.04199,2008.46,10) (1,0.00814952,2008,10) (3,0.0347025,2008,10) (5,22.3224,2008.69,10) (7,0.000955975,2008,10) (9,0.188851,2008,10) (15,0.206319,1991.98,10) (17,6.02289,2008.2,10) (24,5.00022,2008.69,10) (26,0.218096,2008.09,10) (29,34.7193,2010.28,10) (30,5.05693,2008.31,10) (33,0.121879,2008.02,10) (40,1.05937,2008.33,10) (41,2.73212,2008.36,10) (43,0.0714369,2008,10) (48,0.0113288,2008,10) (49,0.208915,2008.01,10) (55,2.42787,1994.2,10) (56,241.613,2031.56,10) (58,0.000436017,2008,10) (61,3.11995,2008.1,10) (71,0.00354668,2008,10) (74,32.0252,2013.67,10) (78,7.20795,2008.51,10) (79,0.0171913,2008,10) (83,0.153645,2008,10) (84,0.0665702,2008,10) (85,3.56712e-05,2008,10) (86,0.000261154,2008,10) (87,0.018836,2008,10) (88,0.0290865,2000.01,10) (98,10.3526,2009.72,10) ]
736BCB06	[(0,0.342374,1984.99,10) (1,0.984017,2008.2,10) (2,0.025409,2001,10) (4,0.019966,1988,10) (9,0.108699,2008,10) (13,0.0107402,2008,10) (15,6.24339,2008.25,10) (16,21.4082,2009,10) (24,87.6665,2000.7,10) (25,0.048516,2006.01,10) (26,0.842603,1999.11,10) (27,0.128668,2005,10) (29,0.000732,2007,10) (30,0.446623,1995.99,10) (33,100.88,2015.74,10) (36,0.0816397,2012.01,10) (38,2.8025,2008.15,10) (39,0.0470736,2008,10) (41,10.2312,2008.9,10) (42,0.540596,1995.99,10) (43,0.539692,1999.97,10) (46,1.61417,2014.07,10) (48,0.96221,2010.02,10) (49,0.248868,2006.21,10) (55,0.535428,2008,10) (61,3.91356,2013.6,10) (63,0.001696,2008,10) (64,0.0495692,2008,10) (67,3.75512,2008.15,10) (69,0.0498391,2008,10) (71,0.19168,1997.98,10) (72,69.9907,2019.97,10) (73,0.00499488,2006,10) (74,0.924984,1999.9,10) (75,0.00951901,2001,10) (76,8.25901,2008.68,10) (77,0.00593102,1994,10) (78,1.38446,2007.41,10) (82,0.0804788,2008,10) (83,0.000960374,2003,10) (84,1.68349,2001.11,10) (87,0.000395731,2011,10) (88,0.000610477,2012,10) (98,0.000402938,1995,10) ]
856DCFB3	[(1,0.191571,2008,10) (3,0.438906,2007.99,10) (4,0.104231,2007.95,10) (5,0.403081,2006.06,10) (6,0.170422,2006,10) (7,1.21294,1998.87,10) (8,0.890608,2008.07,10) (9,0.269186,1996.99,10) (16,1.50988,2007.63,10) (17,1.39714,2008.08,10) (18,0.145205,2008,10) (19,7.82251,2007.26,10) (20,2.35786,2007.78,10) (24,8.72465,2008.01,10) (25,0.250264,2006.96,10) (26,0.322725,2007.97,10) (27,1.11734,2007.94,10) (29,5.60447,1992.85,10) (30,0.298398,2008.02,10) (32,0.348642,2008,10) (33,6.30969,2007.58,10) (34,2.3138,1993.03,10) (35,0.000143265,2008,10) (36,0.154154,2008.01,10) (37,1.10816,2008.85,10) (39,3.81538,2006.6,10) (40,28.3482,2006.68,10) (43,0.0763939,2008,10) (46,0.0177726,2008,10) (47,3.11517,2006.86,10) (48,0.0498671,2008,10) (49,0.195274,2008,10) (52,0.260097,2008,10) (54,0.202216,2008.01,10) (55,1.65398,2007.95,10) (56,3.65991,1988.55,10) (58,0.0496811,2008,10) (59,0.451217,2007.99,10) (60,0.0207428,2008,10) (62,0.00672478,2008,10) (63,0.0694661,2008.02,10) (64,0.132048,2008,10) (66,0.171258,2008,10) (67,0.386292,2007.97,10) (69,5.43474,2009.22,10) (70,0.182781,2008.01,10) (71,0.499498,2000.89,10) (72,6.01702,2007.18,10) (76,0.0236051,2008,10) (77,0.56099,2008.02,10) (78,2.4082,2006.82,10) (79,0.0804448,2008,10) (80,0.0627381,2008,10) (81,0.325655,2007.97,10) (83,1.33347,2007.95,10) (84,0.233339,2008.04,10) (89,1.22731,2007.84,10) (90,0.15822,2008,10) (91,0.139684,2008,10) (92,0.112966,2007.99,10) (93,0.130574,2000,10) (94,0.0358586,2008,10) (96,1.13954,2007.98,10) (99,1.12953,1985.02,10) ]
7F680B0B	[(0,0.0150711,2008,10) (1,0.529145,2007.99,10) (2,0.938622,2007.81,10) (3,0.251251,2008,10) (4,3.06979,2008.94,10) (5,3.55057,2008.79,10) (7,0.74032,1990.08,10) (8,2.06635,2007.5,10) (9,0.0992678,2008,10) (11,1.59872,2008.18,10) (12,0.0919718,1994,10) (14,0.0853978,2008,10) (15,0.497904,2008.05,10) (16,0.00461614,2008,10) (17,0.062791,2008,10) (18,0.368363,2007.02,10) (19,1.13857,1993.06,10) (20,2.51316,2001.17,10) (22,0.00616853,2004,10) (23,0.716838,2008,10) (24,3.0593,2008.75,10) (27,3.19123,1993.32,10) (28,0.58948,2008.01,10) (29,1.54143,2007.78,10) (30,0.240691,2007.97,10) (33,2.52647,2008.39,10) (34,3.28174,2005.63,10) (35,0.0585465,2008,10) (36,1.70779,2008.28,10) (37,6.20882,2008.94,10) (38,0.00530118,2008,10) (39,1.65637,2007.82,10) (40,123.467,2008.31,10) (41,3.11106,2007.93,10) (42,0.347872,2007.95,10) (43,0.285151,2007.98,10) (44,0.298118,1998,10) (46,0.090148,2007.99,10) (47,2.51788,2008.48,10) (49,0.573403,2008.03,10) (51,0.501966,2008,10) (52,2.50972,2008.59,10) (54,6.22157,2008.28,10) (55,4.13234,2008.47,10) (56,3.68677,2009.58,10) (58,0.020828,2006.01,10) (59,0.384181,2004.02,10) (61,0.405742,2008.02,10) (62,0.1625,2008,10) (63,1.06802,2008,10) (65,1.10863,2008.07,10) (66,0.533468,2007.99,10) (67,0.17663,2008.01,10) (68,1.72685,2007.66,10) (69,1.68721,2008,10) (71,3.74581,2010.31,10) (72,1.82617,2008.45,10) (74,0.344402,2008.03,10) (76,2.86047,1988.27,10) (77,9.07677,2008.5,10) (78,3.20467,2005.63,10) (81,0.269005,2008,10) (83,0.350719,2007.99,10) (88,0.00789016,2008,10) (89,1.12453,2008.15,10) (90,0.173811,2007.99,10) (92,0.160651,2008,10) (94,0.786046,2007.96,10) (95,0.471173,2007.98,10) (99,0.382975,2008,10) ]
