1	338
338	1
1	113
113	1
1	689
689	1
1	193
193	1
1	77
77	1
2	496
496	2
5	96
96	5
5	733
733	5
6	382
382	6
6	26
26	6
7	297
297	7
8	395
395	8
8	239
239	8
8	165
165	8
8	726
726	8
8	510
510	8
8	90
90	8
8	125
125	8
8	268
268	8
9	336
336	9
10	477
477	10
11	728
728	11
11	149
149	11
12	456
456	12
14	113
113	14
14	689
689	14
14	744
744	14
14	538
538	14
14	595
595	14
16	113
113	16
16	2
2	16
17	179
179	17
17	297
297	17
17	606
606	17
17	568
568	17
17	292
292	17
17	100
100	17
19	113
113	19
21	336
336	21
23	276
276	23
24	642
642	24
24	113
113	24
24	177
177	24
26	292
292	26
27	25
25	27
28	340
340	28
28	339
339	28
28	165
165	28
28	82
82	28
28	90
90	28
28	224
224	28
30	662
662	30
30	257
257	30
30	80
80	30
32	336
336	32
33	595
595	33
33	432
432	33
33	744
744	33
33	249
249	33
33	194
194	33
34	745
745	34
35	439
439	35
35	259
259	35
35	305
305	35
36	216
216	36
36	395
395	36
38	25
25	38
38	130
130	38
41	336
336	41
41	715
715	41
41	269
269	41
42	441
441	42
42	77
77	42
42	350
350	42
44	517
517	44
46	688
688	46
48	168
168	48
49	689
689	49
51	689
689	51
51	229
229	51
51	447
447	51
53	146
146	53
53	246
246	53
56	21
21	56
56	467
467	56
58	526
526	58
59	141
141	59
59	167
167	59
60	157
157	60
61	190
190	61
62	113
113	62
62	128
128	62
62	193
193	62
62	474
474	62
63	54
54	63
63	680
680	63
64	193
193	64
64	360
360	64
65	192
192	65
66	700
700	66
66	378
378	66
68	22
22	68
68	147
147	68
68	593
593	68
68	269
269	68
69	395
395	69
69	631
631	69
70	197
197	70
70	674
674	70
70	96
96	70
71	563
563	71
72	217
217	72
73	552
552	73
75	568
568	75
75	318
318	75
76	279
279	76
77	691
691	77
77	483
483	77
77	706
706	77
77	193
193	77
77	689
689	77
77	113
113	77
77	338
338	77
78	336
336	78
78	50
50	78
78	536
536	78
78	638
638	78
78	4
4	78
78	556
556	78
78	382
382	78
81	674
674	81
81	744
744	81
82	90
90	82
83	628
628	83
84	147
147	84
84	694
694	84
84	33
33	84
85	287
287	85
87	33
33	87
88	285
285	88
88	147
147	88
88	700
700	88
90	705
705	90
90	308
308	90
90	258
258	90
90	326
326	90
92	336
336	92
92	489
489	92
92	697
697	92
94	603
603	94
94	691
691	94
94	165
165	94
94	395
395	94
94	82
82	94
95	701
701	95
95	246
246	95
97	574
574	97
98	43
43	98
99	336
336	99
99	90
90	99
99	545
545	99
99	50
50	99
99	82
82	99
99	193
193	99
102	564
564	102
103	619
619	103
104	285
285	104
104	675
675	104
105	731
731	105
107	246
246	107
107	94
94	107
107	165
165	107
107	680
680	107
107	349
349	107
108	637
637	108
109	350
350	109
109	638
638	109
109	322
322	109
109	50
50	109
109	258
258	109
110	165
165	110
110	79
79	110
113	432
432	113
113	193
193	113
115	305
305	115
116	47
47	116
121	165
165	121
121	332
332	121
123	280
280	123
124	90
90	124
124	220
220	124
124	711
711	124
126	197
197	126
126	249
249	126
126	340
340	126
126	725
725	126
127	111
111	127
127	642
642	127
127	229
229	127
128	224
224	128
128	193
193	128
128	113
113	128
128	432
432	128
130	25
25	130
133	679
679	133
133	113
113	133
133	144
144	133
134	391
391	134
135	255
255	135
135	334
334	135
136	390
390	136
137	165
165	137
137	687
687	137
137	187
187	137
138	336
336	138
138	395
395	138
138	167
167	138
138	563
563	138
138	239
239	138
138	489
489	138
138	382
382	138
138	715
715	138
138	310
310	138
138	141
141	138
138	69
69	138
140	234
234	140
140	430
430	140
140	165
165	140
140	91
91	140
140	224
224	140
141	258
258	141
141	714
714	141
143	25
25	143
147	745
745	147
147	483
483	147
147	234
234	147
147	210
210	147
147	28
28	147
147	382
382	147
149	508
508	149
149	521
521	149
150	348
348	150
150	714
714	150
152	624
624	152
152	149
149	152
152	90
90	152
152	489
489	152
152	638
638	152
152	167
167	152
152	120
120	152
152	50
50	152
152	21
21	152
153	178
178	153
153	217
217	153
153	210
210	153
154	348
348	154
155	119
119	155
156	443
443	156
157	745
745	157
158	364
364	158
160	49
49	160
162	141
141	162
162	417
417	162
162	332
332	162
162	165
165	162
162	82
82	162
163	25
25	163
164	383
383	164
164	336
336	164
164	268
268	164
164	566
566	164
164	470
470	164
165	224
224	165
165	332
332	165
165	339
339	165
165	395
395	165
166	745
745	166
166	619
619	166
169	334
334	169
169	82
82	169
169	141
141	169
171	512
